position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Forward,26,1,France,Chamois Niortais FC,France,FC Sochaux-Montbéliard,free transfer
Central Midfield,25,1,France,Amiens SC,Turkey,Alanyaspor,free transfer
Right-Back,30,1,England,Stoke City,England,Middlesbrough FC,free transfer
Central Midfield,25,1,Germany,SSV Jahn Regensburg,Germany,Hannover 96,free transfer
Attacking Midfield,27,1,Germany,1. FC Köln,Germany,Hannover 96,free transfer
Defensive Midfield,27,1,France,Chamois Niortais FC,France,EA Guingamp,free transfer
Right Winger,23,1,Germany,Hannover 96,Germany,1. FC Köln,free transfer
Central Midfield,33,1,Turkey,Sivasspor,Saudi Arabia,Al-Wehda FC,free transfer
Centre-Back,32,1,Mexico,Club León FC,Mexico,Deportivo Toluca,?
Left Winger,26,1,Denmark,FC Midtjylland,Spain,Cádiz CF,free transfer
Left Midfield,27,1,Germany,VfB Stuttgart,United States,Sporting Kansas City,free transfer
Left-Back,28,1,Spain,Real Sociedad,Turkey,Adana Demirspor,free transfer
Defensive Midfield,23,1,England,Brighton & Hove Albion,Romania,FCV Farul Constanta,free transfer
Left Winger,26,1,Mexico,Deportivo Toluca,Paraguay,Club Cerro Porteño,loan transfer
Centre-Back,28,1,England,Nottingham Forest,England,Hull City,free transfer
Right Winger,28,1,Serbia,FK Partizan Belgrade,Turkey,Gaziantep FK,free transfer
Centre-Back,24,1,Turkey,Hatayspor,Turkey,Bandirmaspor,free transfer
Centre-Back,32,1,Argentina,Racing Club,Chile,Club Universidad de Chile,free transfer
Central Midfield,24,1,France,Olympique Lyon,Greece,Aris Thessaloniki,free transfer
Central Midfield,31,1,Greece,Aris Thessaloniki,Turkey,Adana Demirspor,free transfer
Central Midfield,35,1,Italy,Parma Calcio 1913,Slovakia,Slovan Bratislava,free transfer
Right-Back,26,1,France,AJ Auxerre,Netherlands,Vitesse Arnhem,free transfer
Centre-Back,22,1,France,EA Guingamp,Portugal,SC Braga,loan transfer
Left-Back,32,1,Spain,Granada CF,Spain,Real Valladolid CF,free transfer
Defensive Midfield,33,1,Spain,Granada CF,France,Clermont Foot 63,free transfer
Attacking Midfield,30,1,Ukraine,Metalist Kharkiv,Argentina,Club Atlético Independiente,free transfer
Goalkeeper,20,1,France,Pau FC,England,Bristol City,free transfer
Central Midfield,31,1,England,Aston Villa,England,Derby County,free transfer
Left Winger,27,1,Wales,Cardiff City,England,Oxford United,free transfer
Defensive Midfield,28,1,Serbia,FK Partizan Belgrade,Turkey,Gaziantep FK,?
Left Winger,24,1,England,Norwich City,England,Birmingham City,loan transfer
Centre-Back,32,1,Italy,US Sassuolo,Italy,US Cremonese,?
Centre-Back,26,1,Belgium,KV Kortrijk,Georgia,Dinamo Tbilisi,free transfer
Attacking Midfield,32,1,Saudi Arabia,Al-Ahli Saudi FC,Brazil,Botafogo de Futebol e Regatas,free transfer
Centre-Back,32,1,England,Newcastle United,England,Sheffield United,loan transfer
Goalkeeper,26,1,Italy,Juventus FC,Italy,AC Perugia Calcio,loan transfer
Attacking Midfield,33,1,Turkey,Fenerbahce SK,Turkey,Istanbul Basaksehir FK,free transfer
Right-Back,26,1,Colombia,Millonarios FC,Colombia,Atlético Nacional,free transfer
Central Midfield,27,1,Netherlands,FC Utrecht,Sweden,BK Häcken,free transfer
Central Midfield,21,1,Italy,UC Sampdoria,Italy,US Lecce,loan transfer
Right-Back,33,1,Spain,Levante UD,Spain,CD Leganés,free transfer
Central Midfield,21,1,Italy,Juventus FC,Italy,AC Monza,loan transfer
Left Winger,20,1,Brazil,Sport Club Internacional,Brazil,Atlético Clube Goianiense,loan transfer
Left-Back,25,1,Germany,1. FC Köln,Germany,VfL Bochum,free transfer
Centre-Back,32,1,Spain,RCD Espanyol Barcelona,Spain,Girona FC,free transfer
Left-Back,28,1,Spain,Getafe CF,Spain,Granada CF,loan transfer
Centre-Back,27,1,Spain,Getafe CF,Spain,Granada CF,loan transfer
Centre-Back,29,1,England,Queens Park Rangers,France,FC Girondins Bordeaux,free transfer
Defensive Midfield,31,1,Portugal,Sporting CP,Spain,RCD Mallorca,free transfer
Attacking Midfield,25,1,Ukraine,Vorskla Poltava,Turkey,Eyüpspor,free transfer
Defensive Midfield,27,1,Russia,Spartak Moscow,Germany,Fortuna Düsseldorf,free transfer
Right Winger,23,1,England,Southampton FC,England,Burnley FC,loan transfer
Right Winger,21,1,Brazil,Sport Club Internacional,Brazil,Esporte Clube Bahia,loan transfer
Centre-Forward,23,1,Germany,Arminia Bielefeld,Netherlands,FC Groningen,?
Right-Back,25,1,Greece,AEK Athens,France,FC Girondins Bordeaux,loan transfer
Centre-Forward,27,1,Turkey,Istanbul Basaksehir FK,Switzerland,Servette FC,?
Central Midfield,23,1,Belgium,KRC Genk,Portugal,FC Paços de Ferreira,loan transfer
Left-Back,25,1,Germany,1.FSV Mainz 05,Germany,FC Hansa Rostock,loan transfer
Centre-Back,25,1,Italy,Udinese Calcio,Germany,Eintracht Braunschweig,loan transfer
Central Midfield,22,1,England,Newcastle United,England,Colchester United,loan transfer
Centre-Forward,24,1,France,Amiens SC,France,FC Girondins Bordeaux,loan transfer
Central Midfield,21,1,France,FC Metz,England,Wolverhampton Wanderers,loan transfer
Central Midfield,22,0.7,Uruguay,CA Boston River,Argentina,AA Argentinos Juniors,1
Centre-Back,26,1,England,Coventry City,England,Blackburn Rovers,1
Right-Back,19,1,Colombia,Independiente Medellín,United States,Portland Timbers,1
Centre-Back,28,1,Egypt,El Ahly Cairo,Qatar,Qatar SC,1
Right Winger,21,1,Romania,UTA Arad,Romania,FCSB,1
Centre-Back,20,0.5,Uruguay,Club Nacional,Italy,Bologna FC 1909,1
Left Winger,26,1,Italy,US Sassuolo,Czech Republic,AC Sparta Prague,1
Centre-Forward,25,1,Portugal,Rio Ave FC,Qatar,Al-Wakrah SC,1
Centre-Forward,29,1,Italy,Venezia FC,Italy,Benevento Calcio,1
Centre-Forward,27,1,Israel,Maccabi Tel Aviv,Belgium,Standard Liège,0.9
Central Midfield,26,1,Italy,US Lecce,Italy,Modena FC,0.75
Centre-Forward,22,1,Belgium,Royal Antwerp FC,Saudi Arabia,Al-Tai,0.7
Right Winger,24,1,Russia,Akhmat Grozny,Turkey,Konyaspor,0.5
Centre-Forward,31,1,Mexico,Club Tijuana,Argentina,Club Atlético Independiente,0.196
Right Winger,24,1,Spain,Celta de Vigo,Turkey,Fatih Karagümrük,free transfer
Defensive Midfield,28,1,Russia,Ural Yekaterinburg,Poland,Legia Warszawa,free transfer
Attacking Midfield,29,1,Belgium,Beerschot V.A.,Belgium,Oud-Heverlee Leuven,free transfer
Right Winger,30,1,England,Sheffield Wednesday,England,Derby County,free transfer
Goalkeeper,25,1,Austria,Austria Vienna,France,Stade Reims,free transfer
Attacking Midfield,25,1,Italy,Parma Calcio 1913,Belgium,KV Mechelen,free transfer
Centre-Back,23,1,Colombia,Independiente Santa Fe,Colombia,Junior FC,free transfer
Defensive Midfield,32,1,Argentina,CA Colon,Mexico,Club Tijuana,free transfer
Centre-Forward,30,1,Turkey,Galatasaray A.S.,Turkey,Fatih Karagümrük,free transfer
Left-Back,27,1,Germany,Arminia Bielefeld,Belgium,Standard Liège,?
Central Midfield,30,1,Italy,US Lecce,Italy,Reggina 1914,?
Centre-Back,25,1,Italy,Hellas Verona,Italy,US Lecce,loan transfer
Centre-Forward,21,1,Japan,Vissel Kobe,Brazil,Cruzeiro Esporte Clube,loan transfer
Centre-Forward,23,0.7,Uruguay,Montevideo Wanderers,Argentina,Club Estudiantes de La Plata,1
Central Midfield,26,1,Argentina,Club Estudiantes de La Plata,Italy,FC Crotone,1
Centre-Back,22,1,Germany,Bayern Munich,Switzerland,FC Lugano,1
Central Midfield,22,1,Serbia,FK TSC Backa Topola,Russia,FK Krasnodar,1
Centre-Back,24,1,Austria,Wolfsberger AC,Italy,US Cremonese,1
Right Winger,21,1,Israel,Hapoel Tel Aviv,Belgium,Standard Liège,1
Left Winger,28,1,Hungary,MOL Fehérvár FC,Ukraine,Shakhtar Donetsk,1
Centre-Back,19,1,Turkey,Besiktas JK,Portugal,SC Braga,1
Left-Back,27,1,Brazil,Sport Club Internacional,Russia,CSKA Moscow,1
Central Midfield,25,1,Italy,Torino FC,Italy,Palermo FC,0.5
Centre-Forward,28,1,Romania,FCV Farul Constanta,Romania,CFR Cluj,0.3
Centre-Back,29,1,Germany,Arminia Bielefeld,Netherlands,FC Utrecht,?
Centre-Back,22,1,Germany,SpVgg Greuther Fürth,Germany,FC Augsburg,free transfer
Attacking Midfield,28,1,Germany,1.FSV Mainz 05,Germany,VfL Bochum,free transfer
Defensive Midfield,29,1,Kazakhstan,Kairat Almaty,Germany,VfL Bochum,free transfer
Centre-Back,19,1,Turkey,Istanbul Basaksehir FK,Belgium,KVC Westerlo,loan transfer
Centre-Forward,31,1,"Korea, South",Jeonbuk Hyundai Motors,"Korea, South",FC Seoul,?
Left-Back,23,1,Italy,US Sassuolo,Italy,Palermo FC,loan transfer
Central Midfield,25,1,Saudi Arabia,Al-Shabab Club (Riyadh),Saudi Arabia,Al-Fayha FC,loan transfer
Centre-Back,29,1,Romania,CFR Cluj,Turkey,Kasimpasa,?
Central Midfield,23,1,England,Wolverhampton Wanderers,Portugal,CD Santa Clara,loan transfer
Left-Back,25,0.3,Italy,Delfino Pescara 1936,Italy,Benevento Calcio,1
Central Midfield,22,1,Chile,CD Universidad Católica,England,Norwich City,3
Defensive Midfield,33,1,Mexico,Tigres UANL,Mexico,FC Juárez,1
Centre-Forward,29,1,Belgium,Club Brugge KV,Indonesia,Persija Jakarta,1
Left-Back,24,1,Switzerland,FC St. Gallen 1879,Germany,Hamburger SV,1
Central Midfield,30,0.9,Italy,US Sassuolo,Italy,Spezia Calcio,1
Centre-Back,21,1,Germany,SV Werder Bremen,Poland,Legia Warszawa,1
Right Winger,18,0.8,Ecuador,Independiente del Valle,Belgium,Royal Antwerp FC,1
Centre-Forward,23,1,Germany,Borussia Dortmund,Germany,1. FC Köln,1
Left-Back,21,1,France,Chamois Niortais FC,France,FC Lorient,1
Centre-Forward,33,1,Italy,US Lecce,Italy,Genoa CFC,1
Centre-Forward,24,1,Netherlands,AZ Alkmaar,Austria,Rapid Vienna,1
Centre-Forward,24,0.6,Norway,Aalesunds FK,Denmark,Aarhus GF,1
Attacking Midfield,18,0.4,Ukraine,SK Dnipro-1,England,Brentford FC B,1
Centre-Back,24,1,Russia,Rubin Kazan,France,FC Lorient,1
Attacking Midfield,27,0.8,Norway,Hamarkameratene,Norway,Molde FK,1
Centre-Back,31,1,Saudi Arabia,Al-Nassr Riad,Mexico,CD Cruz Azul,1
Left Winger,17,0.1,Italy,Delfino Pescara 1936,Italy,UC Sampdoria,1
Central Midfield,23,1,Austria,LASK,Belgium,KAA Gent,1
Central Midfield,23,1,Spain,CD Mirandés,Spain,Granada CF,1
Second Striker,29,1,Brazil,Santos FC,Spain,UD Almería,1
Attacking Midfield,30,0.8,Argentina,AA Argentinos Juniors,Brazil,Santos FC,1
Centre-Forward,26,0.5,Romania,FC U Craiova 1948,Romania,FCSB,1
Centre-Forward,23,1,Japan,Kashima Antlers,Belgium,Cercle Brugge ,1
Attacking Midfield,24,1,Sweden,IF Elfsborg,Netherlands,SC Heerenveen,1
Attacking Midfield,26,1,Ukraine,Zorya Lugansk,Ukraine,Dynamo Kyiv,1
Central Midfield,23,1,Japan,Kawasaki Frontale,Germany,Fortuna Düsseldorf,1
Right-Back,26,1,Italy,Venezia FC,Italy,US Salernitana 1919,1
Goalkeeper,22,1,Netherlands,Ajax Amsterdam,Croatia,HNK Gorica,1
Centre-Forward,26,1,Poland,Radomiak Radom,Turkey,Sivasspor,1
Centre-Back,27,1,Moldova,FC Sheriff Tiraspol,Latvia,Riga FC,1
Centre-Forward,27,1,Croatia,GNK Dinamo Zagreb,France,Clermont Foot 63,1
Central Midfield,25,1,Ukraine,Shakhtar Donetsk,France,FC Girondins Bordeaux,1
Right Winger,21,1,Portugal,SL Benfica B,Netherlands,Fortuna Sittard,1
Goalkeeper,28,1,Portugal,Portimonense SC,Portugal,FC Porto,1
Second Striker,21,1,Germany,1.FC Union Berlin,England,Sunderland AFC,0.87
Centre-Forward,31,1,Italy,Brescia Calcio,Italy,Ternana Calcio,0.8
Centre-Back,23,1,Switzerland,FC St. Gallen 1879,Germany,FC St. Pauli,0.8
Defensive Midfield,24,1,Portugal,Vitória Guimarães SC,Saudi Arabia,Al-Tai,0.8
Centre-Forward,22,1,Algeria,Paradou AC,Belgium,RSC Charleroi,0.75
Left Winger,22,1,Spain,Real Sociedad B,Croatia,HNK Rijeka,0.75
Centre-Forward,24,1,Belgium,KRC Genk,Denmark,Randers FC,0.672
Centre-Forward,26,1,Portugal,Vitória Guimarães SC,Saudi Arabia,Damac FC,0.6
Right-Back,24,1,Portugal,FC Vizela,France,FC Metz,0.6
Right Winger,21,1,Germany,FC Bayern Munich II,Netherlands,SC Heerenveen,0.55
Centre-Back,27,1,Russia,FC Sochi,Russia,Krylya Sovetov Samara,0.5
Central Midfield,24,1,Sweden,BK Häcken,Poland,Rakow Czestochowa,0.5
Defensive Midfield,31,1,France,FC Lorient,France,AS Saint-Étienne,0.5
Centre-Back,22,1,United States,Charlotte FC,United States,New England Revolution,0.364
Right Midfield,22,1,Italy,Juventus Next Gen,Brazil,Cruzeiro Esporte Clube,0.35
Left-Back,23,1,Germany,SC Freiburg,Germany,SpVgg Greuther Fürth,0.3
Central Midfield,24,1,Italy,Juventus Next Gen,Italy,US Salernitana 1919,0.3
Defensive Midfield,25,1,United States,Orlando City SC,United States,Los Angeles FC,0.273
Left Winger,30,1,Croatia,NK Osijek,Poland,Zaglebie Lubin,0.25
Left-Back,24,1,Romania,FCV Farul Constanta,Bulgaria,CSKA-Sofia,0.2
Attacking Midfield,22,1,Argentina,CA River Plate,Argentina,CA Newell's Old Boys,0.19
Centre-Forward,20,1,Turkey,Trabzonspor,Poland,Warta Poznan,0.075
Second Striker,19,1,Germany,FC Bayern Munich II,Germany,SpVgg Greuther Fürth,0.05
Centre-Back,25,1,Scotland,Heart of Midlothian FC,Scotland,Rangers FC,free transfer
Left Winger,23,1,Denmark,Aarhus GF,Belgium,Oud-Heverlee Leuven,free transfer
Goalkeeper,31,1,Germany,Borussia Dortmund,United States,St. Louis CITY SC,free transfer
Left Winger,20,1,Germany,Hamburger SV,Germany,Eintracht Frankfurt,free transfer
Attacking Midfield,22,1,France,AC Le Havre,France,Angers SCO,free transfer
Centre-Forward,34,1,Netherlands,PSV Eindhoven,Israel,Maccabi Tel Aviv,free transfer
Right Winger,28,1,England,Preston North End,England,Derby County,free transfer
Centre-Back,37,1,Italy,Juventus FC,United States,Los Angeles FC,free transfer
Left Winger,27,1,England,Bristol City,Wales,Cardiff City,free transfer
Central Midfield,31,1,Wales,Cardiff City,England,Portsmouth FC,free transfer
Right Winger,24,1,Poland,Zaglebie Lubin,Turkey,Istanbul Basaksehir FK,free transfer
Left Winger,29,1,Russia,Spartak Moscow,Russia,FK Khimki,free transfer
Central Midfield,33,1,Russia,FK Krasnodar,Russia,Ural Yekaterinburg,free transfer
Centre-Forward,26,1,Portugal,CS Marítimo,Portugal,Gil Vicente FC,free transfer
Central Midfield,31,1,Turkey,Istanbul Basaksehir FK,Turkey,Antalyaspor,free transfer
Centre-Forward,24,1,China,Beijing Guoan,Portugal,Vitória Guimarães SC,free transfer
Central Midfield,32,1,Russia,CSKA Moscow,Russia,Rubin Kazan,free transfer
Attacking Midfield,31,1,Belgium,KAA Gent,Cyprus,Omonia Nicosia,free transfer
Goalkeeper,33,1,Belgium,KAA Gent,Belgium,KVC Westerlo,free transfer
Right Winger,23,1,Turkey,Caykur Rizespor,Turkey,Adana Demirspor,free transfer
Right Winger,25,1,Greece,Panathinaikos Athens,Turkey,MKE Ankaragücü,free transfer
Right-Back,29,1,Austria,Rapid Vienna,Austria,LASK,free transfer
Right-Back,29,1,England,West Ham United,England,AFC Bournemouth,free transfer
Centre-Back,23,1,Poland,Górnik Zabrze,Italy,Venezia FC,free transfer
Goalkeeper,33,1,Turkey,Hatayspor,Saudi Arabia,Al-Wehda FC,free transfer
Left-Back,33,1,England,Wolverhampton Wanderers,Brazil,Botafogo de Futebol e Regatas,free transfer
Attacking Midfield,31,1,France,EA Guingamp,France,AJ Auxerre,free transfer
Goalkeeper,26,1,Mexico,Deportivo Guadalajara,United States,Atlanta United FC,free transfer
Centre-Back,32,1,Germany,SV Werder Bremen,Turkey,Antalyaspor,free transfer
Centre-Forward,31,1,France,FC Nantes,Serbia,Red Star Belgrade,free transfer
Centre-Forward,23,1,Germany,Eintracht Frankfurt,Germany,SpVgg Greuther Fürth,loan transfer
Centre-Back,32,1,Wales,Cardiff City,England,Stoke City,free transfer
Central Midfield,29,1,Portugal,Gil Vicente FC,Turkey,MKE Ankaragücü,?
Goalkeeper,31,1,Russia,Zenit St. Petersburg,Portugal,Gil Vicente FC,free transfer
Centre-Back,31,1,Serbia,FK Partizan Belgrade,Cyprus,Omonia Nicosia,free transfer
Goalkeeper,29,1,Italy,US Lecce,Brazil,Coritiba Foot Ball Club,free transfer
Centre-Forward,25,1,France,FC Nantes,Switzerland,FC Basel 1893,free transfer
Centre-Back,21,1,Germany,RB Leipzig,Germany,Arminia Bielefeld,loan transfer
Centre-Forward,36,1,France,LOSC Lille,Netherlands,Fortuna Sittard,free transfer
Left-Back,32,1,Mexico,Club Tijuana,Mexico,Deportivo Toluca,?
Central Midfield,24,1,Belgium,RSC Charleroi,Belgium,Royale Union Saint Gilloise,?
Centre-Back,30,1,France,ESTAC Troyes,France,AS Saint-Étienne,free transfer
Centre-Forward,32,1,Italy,US Salernitana 1919,Italy,Hellas Verona,free transfer
Right Winger,28,1,Mexico,Club Tijuana,Mexico,Mazatlán FC,free transfer
Centre-Forward,23,1,Russia,Rubin Kazan,Russia,Lokomotiv Moscow,free transfer
Defensive Midfield,37,1,England,Manchester City,Brazil,Club Athletico Paranaense,free transfer
Centre-Forward,20,1,Croatia,HNK Hajduk Split,Austria,LASK,loan transfer
Attacking Midfield,27,1,England,Hull City,England,Millwall FC,?
Centre-Forward,33,1,Saudi Arabia,Al-Fateh,Switzerland,FC Zürich,free transfer
Centre-Forward,19,1,Austria,Red Bull Salzburg,Belgium,KVC Westerlo,loan transfer
Central Midfield,27,1,Turkey,Adana Demirspor,Turkey,Eyüpspor,?
Central Midfield,24,1,Spain,Granada CF,Portugal,Casa Pia AC,free transfer
Centre-Back,22,1,France,Montpellier HSC,France,AC Ajaccio,free transfer
Attacking Midfield,26,1,Czech Republic,1.FC Slovacko,Czech Republic,AC Sparta Prague,?
Attacking Midfield,31,1,Turkey,Altay SK,Chile,CD Universidad Católica,free transfer
Left Winger,27,1,Mexico,Club Tijuana,Mexico,Querétaro FC,loan transfer
Central Midfield,22,1,England,AFC Bournemouth,England,Stoke City,loan transfer
Left Winger,20,1,England,Brighton & Hove Albion,Belgium,Royale Union Saint Gilloise,loan transfer
Left Winger,20,1,Italy,US Sassuolo,Italy,Frosinone Calcio,loan transfer
Attacking Midfield,29,1,Mexico,CD Cruz Azul,Brazil,Fortaleza Esporte Clube,free transfer
Centre-Back,33,1,Italy,UC Sampdoria,Germany,FC Schalke 04,free transfer
Right-Back,22,1,England,Fulham FC,England,Charlton Athletic,loan transfer
Goalkeeper,37,1,France,Olympique Marseille,France,Stade Rennais FC,free transfer
Right Winger,19,1,Croatia,GNK Dinamo Zagreb,Slovenia,NK Bravo,loan transfer
Centre-Forward,29,1,Saudi Arabia,Al-Shabab Club (Riyadh),Japan,Avispa Fukuoka,?
Left-Back,24,1,Italy,US Sassuolo,Italy,US Cremonese,?
Right-Back,23,1,Portugal,SC Braga,Spain,UD Ibiza,loan transfer
Centre-Forward,25,1,Spain,FC Barcelona,England,Watford FC,free transfer
Left Winger,24,1,Spain,Athletic Bilbao,Spain,Racing Santander,free transfer
Right-Back,31,1,Ukraine,Zorya Lugansk,Poland,Wieczysta Krakow,free transfer
Goalkeeper,28,1,Spain,Getafe CF,Spain,Málaga CF,free transfer
Right-Back,28,1,Germany,Bayer 04 Leverkusen,Germany,SV Werder Bremen,free transfer
Attacking Midfield,20,1,Germany,Bayern Munich,Scotland,Rangers FC,loan transfer
Goalkeeper,35,1,France,FC Girondins Bordeaux,France,AJ Auxerre,free transfer
Centre-Forward,28,1,Italy,Udinese Calcio,Turkey,Giresunspor,free transfer
Centre-Back,26,1,Mexico,Deportivo Toluca,Colombia,Millonarios FC,free transfer
Left-Back,21,1,Mexico,CF Pachuca,Spain,Real Oviedo,loan transfer
Centre-Forward,32,1,Spain,SD Ponferradina,Spain,Real Oviedo,free transfer
Right-Back,23,1,Spain,FC Barcelona,Croatia,HNK Gorica,free transfer
Centre-Back,20,1,Italy,Bologna FC 1909,Italy,Como 1907,loan transfer
Centre-Forward,30,1,Italy,AC Monza,Italy,Modena FC,loan transfer
Centre-Forward,28,1,Portugal,Sporting CP,Japan,FC Tokyo,loan transfer
Centre-Forward,24,1,Italy,Udinese Calcio,Spain,Sporting Gijón,loan transfer
Centre-Forward,21,1,France,SM Caen,United States,Orlando City SC,free transfer
Attacking Midfield,18,1,England,Arsenal FC U21,Spain,Real Oviedo,loan transfer
Attacking Midfield,27,1,France,Pau FC,France,AS Saint-Étienne,free transfer
Right Winger,26,1,Saudi Arabia,Al-Fayha FC,Serbia,FK Cukaricki,free transfer
Left Winger,32,1,Spain,Atlético de Madrid,Spain,UD Las Palmas,loan transfer
Centre-Forward,32,1,England,Newcastle United,England,Stoke City,free transfer
Defensive Midfield,21,1,Spain,FC Barcelona Atlètic,Andorra,FC Andorra,free transfer
Goalkeeper,33,1,Egypt,Zamalek SC,Egypt,Bank El Ahly,free transfer
Left-Back,29,1,Mexico,CF América,Mexico,CD Cruz Azul,free transfer
Central Midfield,24,1,Italy,SSC Napoli,Italy,SSC Bari,loan transfer
Right Winger,21,1,Portugal,SL Benfica B,Portugal,GD Estoril Praia,loan transfer
Goalkeeper,20,1,England,Arsenal FC U21,England,Crewe Alexandra,loan transfer
Centre-Forward,25,1,Brazil,Clube Atlético Mineiro,Brazil,Club de Regatas Vasco da Gama,loan transfer
Defensive Midfield,29,1,Turkey,Altay SK,Saudi Arabia,Al-Khaleej,free transfer
Left-Back,32,1,Spain,CA Osasuna,Spain,Sporting Gijón,free transfer
Right-Back,26,1,Cyprus,Pafos FC,Brazil,Esporte Clube Bahia,loan transfer
Left Winger,23,1,Brazil,São Paulo Futebol Clube,Greece,Panathinaikos Athens,free transfer
Central Midfield,22,1,England,Nottingham Forest,United States,Real Salt Lake City,loan transfer
Left Winger,21,1,France,Olympique Lyon,France,AS Saint-Étienne,free transfer
Right-Back,21,1,Spain,Celta de Vigo,Spain,Villarreal CF B,loan transfer
Right-Back,24,1,Belgium,KV Oostende,United States,New York Red Bulls,loan transfer
Left-Back,23,1,Spain,Elche CF,Argentina,CA Rosario Central,loan transfer
Central Midfield,25,1,Spain,Real Valladolid CF,Spain,Cádiz CF,free transfer
Goalkeeper,32,1,Spain,Real Betis Balompié,England,Leeds United,free transfer
Centre-Forward,28,1,United Arab Emirates,Khor Fakkan,Turkey,Samsunspor,?
Attacking Midfield,22,1,United States,Columbus Crew,Romania,FC Rapid 1923,loan transfer
Right-Back,26,1,Italy,US Lecce,Italy,Pisa Sporting Club,?
Left Winger,29,1,United States,New England Revolution,Sweden,IFK Norrköping,free transfer
Central Midfield,28,1,Netherlands,Feyenoord Rotterdam,Netherlands,FC Emmen,loan transfer
Goalkeeper,35,1,Italy,Genoa CFC,Italy,SSC Napoli,free transfer
Centre-Forward,25,1,Italy,Genoa CFC,Italy,Ternana Calcio,loan transfer
Left-Back,25,1,Spain,Granada CF,Portugal,Gil Vicente FC,free transfer
Centre-Back,23,1,England,Manchester City U21,Brazil,São Paulo Futebol Clube,loan transfer
Defensive Midfield,20,1,Brazil,Grêmio Foot-Ball Porto Alegrense,Brazil,Avaí Futebol Clube (SC),loan transfer
Left Winger,29,1,Mexico,Club Tijuana,Argentina,Defensa y Justicia,loan transfer
Left Winger,29,1,Mexico,Club Tijuana,Argentina,Defensa y Justicia,loan transfer
Left Winger,22,1,Spain,Sporting Gijón,Spain,Burgos CF,loan transfer
Centre-Forward,19,1,England,Manchester City U21,England,Stoke City,loan transfer
Central Midfield,26,1,Italy,LR Vicenza,Italy,SPAL,loan transfer
Left Winger,25,1,Denmark,FC Copenhagen,Portugal,GD Chaves,loan transfer
Centre-Forward,34,1,Portugal,Sporting CP,France,Stade Brestois 29,free transfer
Central Midfield,32,1,France,Olympique Marseille,Italy,Genoa CFC,loan transfer
Attacking Midfield,19,1,France,OGC Nice B,Switzerland,Neuchâtel Xamax FCS,?
Right Winger,23,1,Spain,RCD Mallorca,Spain,Racing Santander,loan transfer
Attacking Midfield,27,1,Turkey,Gaziantep FK,Turkey,Eyüpspor,free transfer
Right Winger,20,1,Spain,Atlético de Madrid B,Andorra,FC Andorra,loan transfer
Left-Back,27,1,Monaco,AS Monaco,Italy,Cagliari Calcio,free transfer
Right Winger,21,1,Italy,Genoa CFC,Italy,Hellas Verona,loan transfer
Attacking Midfield,26,1,Croatia,GNK Dinamo Zagreb,Slovenia,NK Maribor,loan transfer
Centre-Back,29,1,England,Huddersfield Town,England,Reading FC,free transfer
Defensive Midfield,26,1,Italy,Spezia Calcio,Brazil,Goiás Esporte Clube,free transfer
Left Winger,21,1,United States,FC Dallas,Hungary,MOL Fehérvár FC,?
Defensive Midfield,23,1,Spain,Athletic Bilbao,Spain,SD Eibar,loan transfer
Central Midfield,30,1,Italy,FC Crotone,Italy,Brescia Calcio,?
Right Winger,28,1,Italy,Benevento Calcio,Italy,Frosinone Calcio,?
Centre-Forward,33,1,Italy,Genoa CFC,Saudi Arabia,Abha Club,free transfer
Centre-Forward,31,1,Spain,Elche CF,China,Henan Songshan Longmen,free transfer
Left-Back,28,1,Belgium,KRC Genk,Norway,Vålerenga Fotball,?
Attacking Midfield,21,1,England,Leeds United,Spain,UD Ibiza,loan transfer
Central Midfield,22,1,England,Manchester City,France,ESTAC Troyes,?
Left Winger,29,1,Saudi Arabia,Ettifaq FC,Netherlands,FC Utrecht,loan transfer
Centre-Forward,29,1,England,Sheffield Wednesday,Cyprus,AEL Limassol,free transfer
Central Midfield,29,1,Turkey,Istanbul Basaksehir FK,China,Changchun Yatai,free transfer
Centre-Forward,30,1,Italy,US Salernitana 1919,Italy,Benevento Calcio,loan transfer
Centre-Back,23,1,Germany,1.FC Union Berlin,Germany,FC Hansa Rostock,loan transfer
Centre-Forward,24,1,France,Dijon FCO,Italy,SSC Bari,?
Centre-Back,29,1,Italy,ACF Fiorentina,Spain,RCD Mallorca,free transfer
Central Midfield,19,1,France,Paris FC,France,AC Le Havre,loan transfer
Centre-Back,33,1,England,Newcastle United,Spain,Elche CF,free transfer
Centre-Back,28,1,England,Fulham FC,France,AC Le Havre,loan transfer
Centre-Forward,27,1,Spain,Real Zaragoza,Spain,Real Valladolid CF,?
Attacking Midfield,20,1,Germany,FC Bayern Munich II,Belgium,Royal Antwerp FC,1
Central Midfield,21,1,Turkey,Sivasspor,Turkey,Besiktas JK,1
Goalkeeper,29,1,Italy,Brescia Calcio,Italy,Venezia FC,1
Central Midfield,26,1,Italy,FC Crotone,Italy,Parma Calcio 1913,1
Goalkeeper,29,1,Romania,Universitatea Craiova,Italy,Palermo FC,0.5
Right Winger,26,1,Argentina,CA Banfield,Argentina,CA Colon,0.285
Goalkeeper,31,1,Italy,Parma Calcio 1913,Italy,US Salernitana 1919,free transfer
Right Midfield,25,1,Japan,Cerezo Osaka,Belgium,KV Oostende,?
